"id","acelX","acelY","acelZ","girX","girY","girZ","idTipoMovimento","mag"
10064,764.0,-445.0,3877.0,5184.0,-3779.0,-4311.0,2,-467.0
10065,1778.0,-923.0,3930.0,5200.0,-680.0,1839.0,2,-1191.0
10066,1093.0,-21.0,3315.0,5296.0,3284.0,-970.0,2,11016.0
10067,787.0,-174.0,3123.0,5120.0,-6725.0,-5414.0,2,1082.0
10068,1622.0,-1223.0,4936.0,5168.0,4737.0,3931.0,2,649.0
10069,906.0,-1.0,3776.0,5168.0,-4882.0,3505.0,2,-11560.0
10070,108.0,-714.0,3304.0,5120.0,-4152.0,328.0,2,-19658.0
10071,1117.0,-779.0,3222.0,5136.0,2620.0,5247.0,2,-8770.0
10072,770.0,-621.0,4523.0,5200.0,722.0,-107.0,2,1876.0
10073,959.0,-785.0,4408.0,5232.0,-3497.0,-5082.0,2,-4030.0
10074,1437.0,-704.0,2726.0,5232.0,3614.0,-1093.0,2,12931.0
